"","","","2018 [2018]","2018 [2018]","2018 [2018]","2018 [2018]","2019 [2019]","2019 [2019]","2019 [2019]","2019 [2019]","2020 [2020]","2020 [2020]","2020 [2020]","2020 [2020]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"Djibouti [72]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","3,048.589504","International reliable sources","","US$","3,252.320409","International reliable sources","","US$","3,465.038713","International reliable sources",""
"Dominica [55]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,745.485101","International reliable sources","","US$","8,516.280039","International reliable sources","","US$","7,037.685311","International reliable sources",""
"Dominican Republic [56]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","8,050.649783","International reliable sources","","US$","8,282.123087","International reliable sources","","US$","7,268.188603","International reliable sources",""
"Ecuador [58]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,295.93503","International reliable sources","","US$","6,222.522862","International reliable sources","","US$","5,600.39152","International reliable sources",""
"Egypt [59]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,537.512209","International reliable sources","","US$","3,161.324684","International reliable sources","","US$","3,608.842256","International reliable sources",""
"El Salvador [60]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,052.62157","International reliable sources","","US$","4,167.729159","International reliable sources","","US$","3,798.634701","International reliable sources",""
"Equatorial Guinea [61]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","10,005.547947","International reliable sources","","US$","8,419.908202","International reliable sources","","US$","7,143.238102","International reliable sources",""
"Eritrea [178]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","580.881171","International reliable sources","","US$","566.711679","International reliable sources","","US$","587.614196","International reliable sources",""
"Estonia [63]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","23,047.123715","International reliable sources","","US$","23,419.18198","International reliable sources","","US$","23,105.523391","International reliable sources",""
"Eswatini [209]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,105.620395","International reliable sources","","US$","3,894.197619","International reliable sources","","US$","3,305.774271","International reliable sources",""
"Ethiopia [238]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","734.362795","International reliable sources","","US$","825.865015","International reliable sources","","US$","840.36193","International reliable sources",""
"Fiji [66]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","6,317.494796","International reliable sources","","US$","6,175.892917","International reliable sources","","US$","5,013.230983","International reliable sources",""
"Finland [67]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","49,925.087042","International reliable sources","","US$","48,585.483016","International reliable sources","","US$","48,685.245393","International reliable sources",""
"France [68]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","41,537.642798","International reliable sources","","US$","40,516.996615","International reliable sources","","US$","38,958.603419","International reliable sources",""
"French Polynesia [70]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","22,679.087457","International reliable sources","","US$","22,078.072132","International reliable sources","","US$","20,707.452774","International reliable sources",""
"Gabon [74]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","7,959.010662","International reliable sources","","US$","7,766.992804","International reliable sources","","US$","6,789.392632","International reliable sources",""
"Gambia [75]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","732.727","International reliable sources","","US$","769.198872","International reliable sources","","US$","757.412441","International reliable sources",""
"Georgia [73]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,396.662602","International reliable sources","","US$","4,372.780604","International reliable sources","","US$","3,983.689756","International reliable sources",""
"Germany [79]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","47,847.426197","International reliable sources","","US$","46,557.284069","International reliable sources","","US$","45,908.724713","International reliable sources",""
"Ghana [81]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","2,260.113451","International reliable sources","","US$","2,247.149748","International reliable sources","","US$","2,205.526086","International reliable sources",""
"Greece [84]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","20,152.490167","International reliable sources","","US$","19,587.057271","International reliable sources","","US$","18,117.070258","International reliable sources",""
"Greenland [85]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","53,751.595228","International reliable sources","","US$","52,622.572605","International reliable sources","","US$","55,138.569878","International reliable sources",""
"Grenada [86]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","10,466.33079","International reliable sources","","US$","10,834.400864","International reliable sources","","US$","9,272.883756","International reliable sources",""
"Guatemala [89]","Value US$ per capita [6119]","Gross Domestic Product [22008]","US$","4,244.525131","International reliable sources","","US$","4,380.749911","International reliable sources","","US$","4,331.686958","International reliable sources",""
